trajectory_id,log_sha256,nominal_fourier_spacing_nm,input_coulomb_cutoff_nm,final_logged_optimal_grid,final_logged_optimal_cutoff_nm,final_optimal_line
Pro00062__PET_L10__head-side__r3,fec946502c23185ea251a1146969cfea5702ada11fd754020dd4617d1cd1562f,0.16,1.2,84 84 84,1.2,486
Pro00062__PET_L10__tail-side__r1,9eb57fe7c543ac37c4e13240fc0953c7e9b2e910bec98f42ed10851e1e003ea6,0.16,1.2,84 84 84,1.2,486
Pro00062__PET_L10__tail-side__r2,39fab7b28dfe22722d206d61f3a91da1719552bd99f5344179e0f3b6955c9892,0.16,1.2,84 84 84,1.2,486
Pro00062__PET_L10__tail-side__r3,784091680b70b749d78d6d086b856ca27f6363fc76d41bdc41fb47025127dfaa,0.16,1.2,84 84 84,1.2,490
Pro00062__PET_L20__bidirectional__r1,c1ffce5dbc446c23ff47d78b6457f021c4dd7922f0f38ef70f42651daa1c100b,0.16,1.2,96 96 96,1.2,473
Pro00062__PET_L20__bidirectional__r2,475e9e47d42fd3d2281afd8d444e8df4e215c7777c6cfd0ed95790f321d979b1,0.16,1.2,96 96 96,1.2,474
Pro00062__PET_L20__bidirectional__r3,3946ef86975043aabcbf3f366a6de8f524ca170e96b3d10c652c2b97792abedd,0.16,1.2,96 96 96,1.2,476
Pro00062__PET_L20__head-side__r1,e40eadf99f3a7604937153acf5bdf35f37efd6a53978b376e6cae7d9d38a097d,0.16,1.2,96 96 96,1.2,473
Pro00062__PET_L20__head-side__r2,91ec583ca9b72e5f7fdac687f0df6ae9b5fd7c3f3e9d1fd7be4a6250fb5bd571,0.16,1.2,96 96 96,1.2,473
Pro00062__PET_L20__head-side__r3,768648723aa3f06b5464df6ab7ac6ed4f2d4e714e344b50d7ee7dd9a24bb7297,0.16,1.2,96 96 96,1.2,473
Pro00062__PET_L20__tail-side__r1,4f785d3f616ee22851ec856944aab355940c6951b902af4ba4da99fe47f8e615,0.16,1.2,96 96 96,1.2,473
Pro00062__PET_L20__tail-side__r2,d6d30d9837d9fd90655e7213154fc74b232b0444db2fe1a2c48d42731cf32f61,0.16,1.2,96 96 96,1.2,473
Pro00062__PET_L20__tail-side__r3,dde3241527b6a6c276ef874de361ff45304adb9ca69c94c517e5770323ac1e5b,0.16,1.2,96 96 96,1.2,473
Pro00075__PET_L4__single__r1,3bae0a97b5cb9baa9cf18da6528ea5bca6fc99a61012705dad2e6dda1bdc53b3,0.16,1.2,64 64 64,1.2,487
Pro00075__PET_L4__single__r2,d48f470194e4e97fa0affc950eb5e63ed81251828539c542b0ada620a72c36cd,0.16,1.2,64 64 64,1.2,504
Pro00075__PET_L4__single__r3,1908c41e8ce8fe150750fecf515764c54c7a43f2527f0fb950bf76a781613a54,0.16,1.2,64 64 64,1.2,486
Pro00075__PET_L10__bidirectional__r1,d89451a81435b58bfc63d78caae106a895b646787430bb0bad2560c4b379d606,0.16,1.2,84 84 84,1.2,486
Pro00075__PET_L10__bidirectional__r2,663388d1a159a731ba4fe02eef3d67eba212bd88759e3f2dd163ab38dca96f02,0.16,1.2,84 84 84,1.2,486
Pro00075__PET_L10__bidirectional__r3,fcaa23b2027901e2d3a9dd446f569124f253c60839eeca3fcf272cc1c3b8a9cb,0.16,1.2,84 84 84,1.2,67028
Pro00075__PET_L10__head-side__r1,adb17104dc1821a1d050bd6b4d6b7f98e08b36ce6cda71f7535f797680f7fc5c,0.16,1.2,84 84 84,1.2,486
Pro00075__PET_L10__head-side__r2,ca0b32b28cc0f5989567d06b95e0b0bbd5579ee5fd579f0bd8853a8a86b25e69,0.16,1.2,84 84 84,1.2,486
Pro00075__PET_L10__head-side__r3,f713dbceda51d0875c7efb1457b3686a2742d57b255f4191e98fce781829461e,0.16,1.2,84 84 84,1.2,486
Pro00075__PET_L10__tail-side__r1,76c30f9a768932c3d7ef119bd2199e8387604e5d4027d5b8ed782a2878b0483e,0.16,1.2,84 84 84,1.2,486
Pro00075__PET_L10__tail-side__r2,386539cbc6d10951c2357ec39d048ca558d11ea8a09e25555fc788d5872b0fc2,0.16,1.2,84 84 84,1.2,486
Pro00075__PET_L10__tail-side__r3,586b90518198b1177cd758334c729e7889eedd7e95f779ea0cf192c438beed23,0.16,1.2,84 84 84,1.2,486
Pro00075__PET_L20__bidirectional__r1,ed0a6562abf48de716fcffc90e29b3f85e89297ef8b76ca8a6a4c94576fbc256,0.16,1.2,96 96 96,1.2,474
Pro00075__PET_L20__bidirectional__r2,9d2864d7f312fb4b0f6d6fd48df9527cd5d77060021e4e9e27afd790db98897a,0.16,1.2,96 96 96,1.2,473
Pro00075__PET_L20__bidirectional__r3,1e48186d96f2808ec656853da5fc841f23a7b22024e7808a5b4bdb90aff975c2,0.16,1.2,96 96 96,1.2,473
Pro00075__PET_L20__head-side__r1,829d8817448584da657f855fd3e294c4d8c12f960123fb933d246afda93462b5,0.16,1.2,96 96 96,1.2,473
Pro00075__PET_L20__head-side__r2,2fa93da5db123b6b878d793461fa10afb4d1dd8b93b14614c04ad41c77cd7fdb,0.16,1.2,96 96 96,1.2,476
Pro00075__PET_L20__head-side__r3,3bfa616bff705f66c146d6fd120d299e3a59236dbbeaf395ac97f36fd5ee60fd,0.16,1.2,96 96 96,1.2,473
Pro00075__PET_L20__tail-side__r1,e5117835e142ef7cee259732b472dc5fd43ecdcb92b1fb92a1bd5148f966e3f8,0.16,1.2,96 96 96,1.2,473
Pro00075__PET_L20__tail-side__r2,067c8e78d6d938f84be9dd068a91b3cb54ab0bf22d8ad1a8ac801ba03f11980d,0.16,1.2,96 96 96,1.2,473
Pro00075__PET_L20__tail-side__r3,ffd51108b3178671c6bf636bac0d93e8688c1eee7069f5ec5cfdc39625c9403a,0.16,1.2,96 96 96,1.2,473
Pro00083__PET_L4__single__r1,4b68a74dd0cdd3278f1fc98198cedbd5b9293f4a1f80fb91cbe1599c6d350d2c,0.16,1.2,64 64 64,1.2,504
Pro00083__PET_L4__single__r2,3fd2861149bcfa4636e50483086379954f0e14c1f28da1654a30685e8a86c9be,0.16,1.2,64 64 64,1.2,499
Pro00083__PET_L4__single__r3,9fcb207ef77a3bfa2ddea8b98da3f0cac4f546f2a6a89e6347878f9c47f46e0d,0.16,1.2,60 60 60,1.239,476
Pro00083__PET_L10__bidirectional__r1,8ea9b9809781db90f4a1af0fbc0b0b0c5c0d3110892da5724de5c27d5eaf74a5,0.16,1.2,84 84 84,1.2,486
