protein_id,protein_label,pet_kind,pet_length,run_id,layout,direction,replica_id,production_verdict,retention_verdict,retention_fraction,retention_class,stability_verdict,clash_verdict,pbc_verdict,burn_in_ns,mindist_mean_post_burn_in_nm,mindist_end_post_burn_in_nm,existing_residue_contacts_long,existing_contact_persistence,files_ready_for_fingerprint,retained_fingerprint_eligible,strict_fingerprint_eligible,inclusion_note
Pro00062,LCC WT,PET_L20,20,pro00062_petl20_h200x32_binding001_20260602T131034Z,runtime,bidirectional,3,PRODUCTION_FAIL,FAIL,0.4868,detached,WARN,PASS,PASS,20.0,2.372,6.297,yes,yes,yes,no,no,retention 0.487 below 0.8; retention verdict FAIL; stability verdict WARN
Pro00062,LCC WT,PET_L20,20,pro00062_petl20_h200x32_binding001_20260602T131034Z,runtime,head-side,1,PRODUCTION_WARN,PASS,1.0000,retained,WARN,PASS,PASS,20.0,0.21,0.197,yes,yes,yes,yes,no,stability verdict WARN
Pro00062,LCC WT,PET_L20,20,pro00062_petl20_h200x32_binding001_20260602T131034Z,runtime,head-side,2,PRODUCTION_WARN,PASS,1.0000,retained,WARN,PASS,PASS,20.0,0.193,0.185,yes,yes,yes,yes,no,stability verdict WARN
Pro00062,LCC WT,PET_L20,20,pro00062_petl20_h200x32_binding001_20260602T131034Z,runtime,head-side,3,PRODUCTION_WARN,PASS,1.0000,retained,WARN,PASS,PASS,20.0,0.182,0.167,yes,yes,yes,yes,no,stability verdict WARN
Pro00062,LCC WT,PET_L20,20,pro00062_petl20_h200x32_binding001_20260602T131034Z,runtime,tail-side,1,PRODUCTION_WARN,PASS,1.0000,retained,WARN,PASS,PASS,20.0,0.189,0.183,yes,yes,yes,yes,no,stability verdict WARN
Pro00062,LCC WT,PET_L20,20,pro00062_petl20_h200x32_binding001_20260602T131034Z,runtime,tail-side,2,PRODUCTION_WARN,PASS,0.8439,retained,WARN,PASS,PASS,20.0,0.705,5.707,yes,yes,yes,yes,no,stability verdict WARN
Pro00062,LCC WT,PET_L20,20,pro00062_petl20_h200x32_binding001_20260602T131034Z,runtime,tail-side,3,PRODUCTION_WARN,PASS,0.9988,retained,WARN,PASS,PASS,20.0,0.224,0.215,yes,yes,yes,yes,no,stability verdict WARN
Pro00075,FoCut5a,PET_L4,4,pro00075_petl4_h200x32_binding001_20260603T221037Z,results,single,1,PRODUCTION_WARN,WARN,0.6399,partial,WARN,PASS,PASS,20.0,1.11,2.734,yes,yes,no,no,no,"retention 0.640 below 0.8; retention verdict WARN; stability verdict WARN; missing xtc,tpr,gro"
Pro00075,FoCut5a,PET_L4,4,pro00075_petl4_h200x32_binding001_20260603T221037Z,results,single,2,PRODUCTION_WARN,WARN,0.6875,partial,WARN,PASS,PASS,20.0,0.921,3.551,yes,yes,no,no,no,"retention 0.688 below 0.8; retention verdict WARN; stability verdict WARN; missing xtc,tpr,gro"
Pro00075,FoCut5a,PET_L4,4,pro00075_petl4_h200x32_binding001_20260603T221037Z,results,single,3,PRODUCTION_FAIL,FAIL,0.3062,detached,WARN,PASS,PASS,20.0,1.786,3.79,yes,yes,no,no,no,"retention 0.306 below 0.8; retention verdict FAIL; stability verdict WARN; missing xtc,tpr,gro"
Pro00075,FoCut5a,PET_L10,10,pro00075_petl10_b200h200x32_binding001_20260605T131118Z,runtime,bidirectional,1,PRODUCTION_WARN,PASS,1.0000,retained,WARN,PASS,PASS,20.0,0.195,0.163,yes,yes,yes,yes,no,stability verdict WARN
Pro00075,FoCut5a,PET_L10,10,pro00075_petl10_b200h200x32_binding001_20260605T131118Z,runtime,bidirectional,2,PRODUCTION_FAIL,FAIL,0.3840,detached,WARN,PASS,PASS,20.0,1.785,0.462,yes,yes,yes,no,no,retention 0.384 below 0.8; retention verdict FAIL; stability verdict WARN
Pro00075,FoCut5a,PET_L10,10,pro00075_petl10_b200h200x32_binding001_20260605T131118Z,runtime,bidirectional,3,PRODUCTION_FAIL,FAIL,0.2732,detached,WARN,PASS,PASS,20.0,2.615,3.85,yes,yes,yes,no,no,retention 0.273 below 0.8; retention verdict FAIL; stability verdict WARN
Pro00075,FoCut5a,PET_L10,10,pro00075_petl10_b200h200x32_binding001_20260605T131118Z,runtime,head-side,1,PRODUCTION_WARN,PASS,1.0000,retained,WARN,PASS,PASS,20.0,0.19,0.219,yes,yes,yes,yes,no,stability verdict WARN
