trajectory_id,enzyme,protein_id,pet_length,direction,replica_id,run_id,planned_production_ns,final_logged_step,final_logged_time_ns,log_finished_mdrun,time_check_scope,retention_fraction,retention_class,analysis_window_ns,production_gate_verdict,stability_verdict,pbc_verdict,clash_verdict,nvt_gen_seed,gromacs_version_registry,gromacs_version_log,case_manifest_provenance
Pro00062__PET_L20__head-side__r1,LCC,Pro00062,20,head-side,1,pro00062_petl20_h200x32_binding001_20260602T131034Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,1.0000,retained,20-100,PRODUCTION_WARN,WARN,PASS,PASS,30636704,2025.4,2025.4,deployed_run_copy
Pro00062__PET_L20__head-side__r2,LCC,Pro00062,20,head-side,2,pro00062_petl20_h200x32_binding001_20260602T131034Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,1.0000,retained,20-100,PRODUCTION_WARN,WARN,PASS,PASS,1827529708,2025.4,2025.4,deployed_run_copy
Pro00062__PET_L20__head-side__r3,LCC,Pro00062,20,head-side,3,pro00062_petl20_h200x32_binding001_20260602T131034Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,1.0000,retained,20-100,PRODUCTION_WARN,WARN,PASS,PASS,1210681567,2025.4,2025.4,deployed_run_copy
Pro00062__PET_L20__tail-side__r1,LCC,Pro00062,20,tail-side,1,pro00062_petl20_h200x32_binding001_20260602T131034Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,1.0000,retained,20-100,PRODUCTION_WARN,WARN,PASS,PASS,214838976,2025.4,2025.4,deployed_run_copy
Pro00062__PET_L20__tail-side__r2,LCC,Pro00062,20,tail-side,2,pro00062_petl20_h200x32_binding001_20260602T131034Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,0.8439,retained,20-100,PRODUCTION_WARN,WARN,PASS,PASS,484470732,2025.4,2025.4,deployed_run_copy
Pro00062__PET_L20__tail-side__r3,LCC,Pro00062,20,tail-side,3,pro00062_petl20_h200x32_binding001_20260602T131034Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,0.9988,retained,20-100,PRODUCTION_WARN,WARN,PASS,PASS,1945531088,2025.4,2025.4,deployed_run_copy
Pro00075__PET_L4__single__r1,FoCut5a,Pro00075,4,single,1,pro00075_petl4_h200x32_binding001_20260603T221037Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,0.6399,partial,20-100,PRODUCTION_WARN,WARN,PASS,PASS,20260315,2025.4,2025.4,deployed_run_copy
Pro00075__PET_L4__single__r2,FoCut5a,Pro00075,4,single,2,pro00075_petl4_h200x32_binding001_20260603T221037Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,0.6875,partial,20-100,PRODUCTION_WARN,WARN,PASS,PASS,20260316,2025.4,2025.4,deployed_run_copy
Pro00075__PET_L4__single__r3,FoCut5a,Pro00075,4,single,3,pro00075_petl4_h200x32_binding001_20260603T221037Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,0.3062,detached,20-100,PRODUCTION_FAIL,WARN,PASS,PASS,20260317,2025.4,2025.4,deployed_run_copy
Pro00075__PET_L10__bidirectional__r1,FoCut5a,Pro00075,10,bidirectional,1,pro00075_petl10_b200h200x32_binding001_20260605T131118Z,100.0,50000000,100.0,True,production log; trajectory frames not inspected,1.0000,retained,20-100,PRODUCTION_WARN,WARN,PASS,PASS,586183862,2025.4,2025.4,deployed_run_copy
